rank,name,usnews_link,school_website
65,"University of California, Riverside",https://www.usnews.com/best-colleges/university-of-california-riverside-1316,https://www.ucr.edu/
66,Colorado School of Mines,https://www.usnews.com/best-colleges/colorado-school-of-mines-1348,http://www.mines.edu/
67,Binghamton University--SUNY,https://www.usnews.com/best-colleges/suny-binghamton-2836,http://www.binghamton.edu/
68,Indiana University--Bloomington,https://www.usnews.com/best-colleges/indiana-university-bloomington-1809,https://bloomington.iu.edu/
69,Clemson University,https://www.usnews.com/best-colleges/clemson-university-3425,http://www.clemson.edu/
70,Rutgers University--Newark,https://www.usnews.com/best-colleges/rutgers-university-newark-2631,https://www.newark.rutgers.edu/
71,Syracuse University,https://www.usnews.com/best-colleges/syracuse-university-2882,https://www.syracuse.edu/
72,Drexel University,https://www.usnews.com/best-colleges/drexel-university-3256,http://www.drexel.edu/
73,New Jersey Institute of Technology,https://www.usnews.com/best-colleges/njit-2621,https://www.njit.edu/
74,Stevens Institute of Technology,https://www.usnews.com/best-colleges/stevens-institute-of-technology-2639,https://http//www.stevens.edu/
75,Pepperdine University,https://www.usnews.com/best-colleges/pepperdine-university-1264,https://www.pepperdine.edu/
76,University of Illinois Chicago,https://www.usnews.com/best-colleges/university-of-illinois-chicago-1776,http://www.uic.edu/
77,Worcester Polytechnic Institute,https://www.usnews.com/best-colleges/wpi-2233,https://www.wpi.edu/
78,Yeshiva University,https://www.usnews.com/best-colleges/yeshiva-university-2903,http://www.yu.edu/
79,American University,https://www.usnews.com/best-colleges/american-university-1434,https://www.american.edu/
80,Baylor University,https://www.usnews.com/best-colleges/baylor-university-6967,http://www.baylor.edu/
81,Howard University,https://www.usnews.com/best-colleges/howard-university-1448,https://howard.edu/
82,Florida International University,https://www.usnews.com/best-colleges/fiu-9635,http://www.fiu.edu/
83,Fordham University,https://www.usnews.com/best-colleges/fordham-university-2722,http://www.fordham.edu/
84,Rutgers University--Camden,https://www.usnews.com/best-colleges/rutgers-university-camden-4741,https://http//www.camden.rutgers.edu
85,Texas Christian University,https://www.usnews.com/best-colleges/texas-christian-university-3636,http://www.tcu.edu/
86,University of Colorado Boulder,https://www.usnews.com/best-colleges/university-of-colorado-boulder-1370,https://www.colorado.edu/
87,Auburn University,https://www.usnews.com/best-colleges/auburn-university-1009,http://www.auburn.edu/
88,Gonzaga University,https://www.usnews.com/best-colleges/gonzaga-university-3778,https://www.gonzaga.edu/
89,Saint Louis University,https://www.usnews.com/best-colleges/saint-louis-university-2506,http://www.slu.edu/
90,Temple University,https://www.usnews.com/best-colleges/temple-university-3371,http://www.temple.edu/
91,University of Iowa,https://www.usnews.com/best-colleges/university-of-iowa-1892,http://www.uiowa.edu/
92,University of Missouri,https://www.usnews.com/best-colleges/university-of-missouri-2516,http://www.missouri.edu/
93,University of Tennessee--Knoxville,https://www.usnews.com/best-colleges/university-of-tennessee-knoxville-3530,http://utk.edu/
94,Brigham Young University,https://www.usnews.com/best-colleges/byu-3670,http://www.byu.edu/
95,Chapman University,https://www.usnews.com/best-colleges/chapman-university-1164,https://www.chapman.edu/
96,The University of Oklahoma,https://www.usnews.com/best-colleges/the-university-of-oklahoma-3184,http://www.ou.edu/
97,University of Oregon,https://www.usnews.com/best-colleges/university-of-oregon-3223,https://www.uoregon.edu/
98,University of San Francisco,https://www.usnews.com/best-colleges/university-of-san-francisco-1325,https://www.usfca.edu/
99,The University of Texas--Dallas,https://www.usnews.com/best-colleges/the-university-of-texas-dallas-9741,https://www.utdallas.edu/
100,Arizona State University,https://www.usnews.com/best-colleges/arizona-state-university-1081,https://www.asu.edu/
